y_true,y_pred,y_probs
0,0,"[0.9991421699523926, 0.00011220400483580306, 0.0007456453749909997]"
2,0,"[0.6125370264053345, 0.043607499450445175, 0.3438554108142853]"
2,2,"[2.3560957629342738e-07, 1.196976739947786e-07, 0.9999996423721313]"
2,2,"[1.785798417586193e-06, 7.196736646619684e-07, 0.9999974966049194]"
2,2,"[1.656611203770808e-07, 7.993403272621435e-08, 0.9999997615814209]"
2,2,"[5.791221155959647e-07, 3.047745451567607e-07, 0.9999990463256836]"
2,2,"[0.0002083456638501957, 0.0001285530743189156, 0.9996631145477295]"
2,2,"[4.596236522047548e-06, 2.063928150164429e-06, 0.9999933242797852]"
2,2,"[1.2583449233716237e-06, 4.7040782646945445e-07, 0.9999982118606567]"
0,0,"[0.9819877743721008, 0.0035632930230349302, 0.01444900780916214]"
2,2,"[0.00016224746650550514, 9.03679829207249e-05, 0.9997474551200867]"
1,1,"[0.0033288137055933475, 0.988362729549408, 0.008308478631079197]"
0,0,"[0.9992470741271973, 0.00014171369548421353, 0.0006111831753514707]"
1,1,"[0.0041640279814600945, 0.9854031801223755, 0.010432830080389977]"
2,2,"[0.000535275146830827, 0.0005393468891270459, 0.9989253878593445]"
0,0,"[0.9992172718048096, 6.602350185858086e-05, 0.0007167094736360013]"
2,2,"[0.0004208380123600364, 0.0002775072352960706, 0.999301552772522]"
0,2,"[0.15490087866783142, 0.03168188035488129, 0.8134171962738037]"
0,0,"[0.9999986886978149, 5.0887859259773904e-08, 1.260371618627687e-06]"
0,0,"[0.9751347899436951, 0.0018709413707256317, 0.022994264960289]"
2,2,"[1.662822069192771e-05, 1.063943091139663e-05, 0.9999728202819824]"
2,2,"[3.238090329205079e-08, 1.1619553319519582e-08, 1.0]"
0,0,"[0.999990701675415, 5.500716611095413e-07, 8.653557415527757e-06]"
2,2,"[7.98867222329136e-06, 5.454283382277936e-06, 0.9999865293502808]"
2,2,"[2.6266485519954585e-07, 1.304118910638863e-07, 0.9999996423721313]"
