y_true,y_pred,y_probs
2,2,"[0.00017882866086438298, 0.0001984577247640118, 0.9996227025985718]"
2,2,"[0.08539151400327682, 0.02805223874747753, 0.8865562677383423]"
2,2,"[0.004981205333024263, 0.0016537667252123356, 0.9933650493621826]"
0,0,"[0.9947696328163147, 0.0009001240832731128, 0.004330322612076998]"
2,2,"[0.0042295088060200214, 0.0006363830179907382, 0.9951340556144714]"
2,2,"[0.0005328546976670623, 0.000301967840641737, 0.9991651773452759]"
0,0,"[0.9905809760093689, 0.0019349157810211182, 0.007484124507755041]"
0,0,"[0.9994671940803528, 8.17753971205093e-05, 0.0004510550352279097]"
2,2,"[1.5955428125380422e-06, 6.407116757145559e-07, 0.9999977350234985]"
2,2,"[1.0328674761694856e-05, 1.1087382517871447e-05, 0.9999785423278809]"
2,2,"[0.0044216495007276535, 0.01262360904365778, 0.9829548001289368]"
0,0,"[0.9827792048454285, 0.003761068219318986, 0.013459754176437855]"
2,2,"[4.7167086449917406e-05, 4.5510070776799694e-05, 0.9999072551727295]"
2,2,"[7.739280408713967e-05, 2.0036381101817824e-05, 0.999902606010437]"
1,1,"[7.063818338792771e-05, 0.9996699094772339, 0.000259470718447119]"
0,0,"[0.9985837936401367, 0.0002295029116794467, 0.0011867157882079482]"
1,1,"[7.540846240772225e-07, 0.999994158744812, 5.171222255739849e-06]"
1,1,"[0.0029807807877659798, 0.9832680821418762, 0.013751191087067127]"
2,2,"[2.890332143579144e-05, 1.285621510760393e-05, 0.9999582767486572]"
0,0,"[0.996178150177002, 0.00037902407348155975, 0.0034427980426698923]"
2,2,"[2.1619057406496722e-06, 8.560598985241086e-07, 0.9999970197677612]"
2,2,"[5.766433730514109e-08, 1.6905769228969802e-08, 0.9999998807907104]"
0,0,"[0.9989060163497925, 0.00021818859386257827, 0.0008758377516642213]"
2,2,"[1.0960120562231168e-05, 5.018794581701513e-06, 0.9999840259552002]"
2,2,"[0.0002733370347414166, 0.0002859495289158076, 0.9994407296180725]"
2,2,"[1.8657981854630634e-05, 8.110351700452156e-06, 0.9999731779098511]"
0,0,"[0.9948031306266785, 0.0008563389419578016, 0.004340511281043291]"
0,0,"[0.9906389713287354, 0.000999529380351305, 0.008361469954252243]"
0,0,"[0.9999688863754272, 2.1100163394294214e-06, 2.892963311751373e-05]"
1,1,"[0.0005442991387099028, 0.9979475140571594, 0.001508179702796042]"
0,0,"[0.9999744892120361, 1.5590112525387667e-06, 2.399297409283463e-05]"
1,1,"[0.0005426277057267725, 0.9978353381156921, 0.0016220230609178543]"
2,2,"[0.0009583283099345863, 0.0001462482614442706, 0.9988954067230225]"
0,0,"[0.9910481572151184, 0.0017975373193621635, 0.007154315244406462]"
2,2,"[0.001325149554759264, 0.0008275359286926687, 0.997847318649292]"
1,1,"[0.0004236730164848268, 0.9982106685638428, 0.0013657206436619163]"
0,0,"[0.9998034834861755, 1.628141944820527e-05, 0.0001801497273845598]"
2,2,"[0.00022212337353266776, 0.00017487934383098036, 0.9996029734611511]"
2,2,"[3.2280517189064994e-05, 8.185513252101373e-06, 0.9999595880508423]"
2,2,"[7.939034389892186e-07, 4.3785516368188837e-07, 0.9999988079071045]"
2,2,"[4.896938662568573e-06, 2.036010755546158e-06, 0.999993085861206]"
2,2,"[2.1324611225281842e-05, 1.5975781934685074e-05, 0.9999626874923706]"
2,2,"[1.1401554900203337e-07, 5.46011200697194e-08, 0.9999998807907104]"
2,2,"[0.00639946898445487, 0.004172378219664097, 0.9894281029701233]"
2,2,"[0.37848109006881714, 0.00848660059273243, 0.613032341003418]"
0,0,"[0.9996001124382019, 4.3077092414023355e-05, 0.00035677204141393304]"
1,1,"[0.00013074408343527466, 0.9995191097259521, 0.0003501541796140373]"
2,2,"[2.4756539573900227e-07, 1.3874121407297935e-07, 0.9999996423721313]"
2,2,"[7.045688107609749e-06, 5.7153793022735044e-06, 0.9999872446060181]"
2,2,"[4.029733702282101e-07, 2.2221769313546247e-07, 0.9999994039535522]"
2,2,"[0.009740247391164303, 0.004859237000346184, 0.9854004979133606]"
2,2,"[3.889959771186113e-06, 4.25165717388154e-06, 0.9999918937683105]"
1,1,"[0.0004356382123660296, 0.995780348777771, 0.0037839789874851704]"
0,0,"[0.9773203134536743, 0.0041679153218865395, 0.01851176843047142]"
0,0,"[0.9989364743232727, 0.0004601051041390747, 0.0006033740937709808]"
2,2,"[0.00013236902304925025, 9.138049063039944e-05, 0.999776303768158]"
2,2,"[3.6036936990058166e-07, 1.7274673780320882e-07, 0.9999995231628418]"
1,1,"[0.0017357321921736002, 0.9917677640914917, 0.006496543530374765]"
2,2,"[1.303732096857857e-05, 1.324351251241751e-05, 0.9999737739562988]"
2,2,"[2.1346941991851054e-08, 7.446321781401366e-09, 1.0]"
2,2,"[7.517835598491729e-08, 2.6546839393404298e-08, 0.9999998807907104]"
2,2,"[0.00010019474575528875, 6.457237032009289e-05, 0.9998352527618408]"
2,2,"[8.347175253220485e-07, 5.393706601353188e-07, 0.9999985694885254]"
2,2,"[0.0008026138530112803, 0.00021280166401993483, 0.9989845156669617]"
2,2,"[0.0001071393780875951, 3.2647694752085954e-05, 0.9998601675033569]"
2,2,"[0.0024018906988203526, 0.0020339530892670155, 0.9955642223358154]"
0,0,"[0.9910421371459961, 0.0017250018427148461, 0.007232831325381994]"
0,0,"[0.9967568516731262, 0.0006177254253998399, 0.002625421853736043]"
2,2,"[6.562813268828904e-06, 8.363721462956164e-06, 0.9999850988388062]"
0,0,"[0.9971752166748047, 0.0002505808079149574, 0.002574161859229207]"
2,2,"[0.018517741933465004, 0.004646868910640478, 0.9768353700637817]"
1,1,"[9.194297945214203e-07, 0.9999934434890747, 5.641307325277012e-06]"
1,1,"[2.2437252482632175e-05, 0.9998342990875244, 0.0001433221041224897]"
2,2,"[2.15721044583006e-07, 1.1475074757072434e-07, 0.9999996423721313]"
1,1,"[0.003057792317122221, 0.9547481536865234, 0.042194146662950516]"
2,2,"[2.422662146273069e-05, 1.1959570656472351e-05, 0.9999637603759766]"
1,1,"[5.386674092733301e-05, 0.9997132420539856, 0.0002328118571313098]"
2,2,"[4.393285507831024e-06, 2.5616864149924368e-06, 0.999993085861206]"
2,2,"[5.631897010971443e-07, 3.653184421636979e-07, 0.9999990463256836]"
2,2,"[1.0490052773093339e-05, 5.7720303630048875e-06, 0.9999837875366211]"
2,2,"[2.451243290124694e-06, 1.7905206277646357e-06, 0.9999957084655762]"
2,2,"[1.389194324019627e-07, 6.466098056989722e-08, 0.9999997615814209]"
0,0,"[0.9999872446060181, 1.3201793080952484e-06, 1.1421327144489624e-05]"
2,2,"[0.00015715271001681685, 7.870734407333657e-05, 0.9997641444206238]"
0,0,"[0.9840646386146545, 0.002783959498628974, 0.013151396997272968]"
0,0,"[0.9888635873794556, 0.0012490175431594253, 0.009887352585792542]"
2,2,"[9.053893154487014e-05, 3.3553984394529834e-05, 0.9998759031295776]"
2,2,"[0.0003780763363465667, 0.0004735248221550137, 0.9991483688354492]"
2,2,"[6.920120654285711e-07, 2.1275738504300534e-07, 0.9999990463256836]"
1,1,"[5.126369796926156e-05, 0.9997596144676208, 0.00018910918151959777]"
0,0,"[0.9999070167541504, 4.131924924877239e-06, 8.878949302015826e-05]"
2,2,"[7.385007165794377e-07, 2.577245652446436e-07, 0.9999990463256836]"
1,1,"[3.3435253499192186e-06, 0.9999793767929077, 1.730473195493687e-05]"
2,2,"[3.850167104246793e-06, 2.0942898117937148e-06, 0.9999940395355225]"
0,0,"[0.9998769760131836, 8.742627869651187e-06, 0.0001143557092291303]"
0,0,"[0.999992847442627, 4.3303708707753685e-07, 6.72604983265046e-06]"
2,2,"[0.0018882121657952666, 0.0030312431044876575, 0.9950805902481079]"
2,2,"[1.0255121196678374e-05, 5.4367492339224555e-06, 0.9999842643737793]"
2,2,"[3.5753490834622426e-08, 1.3678103982783796e-08, 1.0]"
1,1,"[0.00016871272237040102, 0.9993459582328796, 0.00048536722897551954]"
2,2,"[1.1350681461408385e-06, 6.917211976542603e-07, 0.9999982118606567]"
2,2,"[2.6416628315928392e-05, 1.7090505934902467e-05, 0.999956488609314]"
2,2,"[7.4717950155900326e-06, 3.580574684747262e-06, 0.9999889135360718]"
2,2,"[5.807547040603822e-06, 1.4285869838204235e-06, 0.9999927282333374]"
2,2,"[1.1710791341101867e-06, 5.303459147398826e-07, 0.9999983310699463]"
2,2,"[1.3618351601962786e-07, 4.826911492727959e-08, 0.9999997615814209]"
2,2,"[0.00010468024265719578, 5.721771594835445e-05, 0.99983811378479]"
2,2,"[0.00637409370392561, 0.0022247156593948603, 0.9914011359214783]"
0,0,"[0.796798586845398, 0.017055578529834747, 0.1861458122730255]"
2,2,"[4.4771391003450844e-06, 3.0079713724262547e-06, 0.9999924898147583]"
1,1,"[0.00019307536422275007, 0.9992403984069824, 0.0005665694479830563]"
